0,Charbonnier, Olivier,1978-9-7,Lyon,France,Basebook,Charbonnier Olivier@hotmail.com, OlivierCharbonnier0
1,Petit, Olivier,1950-1-2,Lille,France,Basebook,Petit Olivier@hotmail.com, OlivierPetit1
2,Desailly,Cheikh,1994-1-5,Paris,France,Weegram,DesaillyCheikh@hotmail.com,CheikhDesailly2
3,Desailly,Cheikh,1964-9-15,Lille,France,Basebook,DesaillyCheikh@hotmail.com,CheikhDesailly3
4,Karembeu,Rio,1959-7-1,Marseille,France,Basebook,KarembeuRio@hotmail.com,RioKarembeu4
5,Djorkeff,Willy,1993-10-8,Strasbourg,France,Weegram,DjorkeffWilly@hotmail.com,WillyDjorkeff5
6,Djorkeff,Antoine,1976-4-14,Rennes,France,Basebook,DjorkeffAntoine@hotmail.com,AntoineDjorkeff6
7,Boghossian,Lucas,1964-3-13,Marseille,France,Basebook,BoghossianLucas@hotmail.com,LucasBoghossian7
8,Lizarazu,Clement,1989-3-28,Monaco,France,Weeder,LizarazuClement@hotmail.com,ClementLizarazu8
9,Dugarry,Laurent,1986-8-18,Nice,France,Basebook,DugarryLaurent@hotmail.com,LaurentDugarry9
10,Zidane,Mathieu,1959-2-24,Strasbourg,France,Weegram,ZidaneMathieu@hotmail.com,MathieuZidane10
11,Petit,Karim,1977-11-20,Rennes,France,Basebook,PetitKarim@hotmail.com,KarimPetit11
12,Leboeuf,Mamadou,1952-8-11,Monaco,France,Weegram,LeboeufMamadou@hotmail.com,MamadouLeboeuf12
13,Zidane,Antoine,1971-4-16,Lyon,France,Basebook,ZidaneAntoine@hotmail.com,AntoineZidane13
14,Trezeguet,Antoine,1986-3-1,Nice,France,Weeder,TrezeguetAntoine@hotmail.com,AntoineTrezeguet14
15,Lama,Blaise,1978-11-18,Nice,France,Weeder,LamaBlaise@hotmail.com,BlaiseLama15
16,Lizarazu,Willy,1964-2-13,Lyon,France,Basebook,LizarazuWilly@hotmail.com,WillyLizarazu16
17,Guivarch,Willy,1982-1-5,Strasbourg,France,Weeder,GuivarchWilly@hotmail.com,WillyGuivarch17
18,Leboeuf,Cheikh,1953-1-2,Marseille,France,Basebook,LeboeufCheikh@hotmail.com,CheikhLeboeuf18
19,Vieira,Willy,1980-7-18,Lyon,France,Weeder,VieiraWilly@hotmail.com,WillyVieira19
